SamplePoint_ID SamplePointX SamplePointY SamplePointZ ColorR ColorG ColorB ColorA
PT_0252 -4.1640 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0253 -4.4870 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0254 -4.4870 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0255 -4.4870 0.1020 -0.9610 0.0000 0.0000 1.0000 1.0000
PT_0256 -4.4870 0.1020 -1.2890 0.0000 0.0000 1.0000 1.0000
PT_0257 -4.4870 0.1020 -1.6180 0.0000 0.0000 1.0000 1.0000
PT_0258 -4.4870 0.1020 -1.9460 0.0000 0.0000 1.0000 1.0000
PT_0259 -4.4870 0.1020 -2.2740 0.0098 0.0000 0.9902 1.0000
PT_0260 -4.4870 0.1020 -2.6030 0.0743 0.0000 0.9257 1.0000
PT_0261 -4.4870 0.1020 -2.9310 0.0644 0.0000 0.9356 1.0000
PT_0262 -4.4870 0.1020 -3.2590 0.0000 0.0000 1.0000 1.0000
PT_0263 -4.4870 0.1020 -3.5880 0.0000 0.0000 1.0000 1.0000
PT_0264 -4.4870 0.1020 -3.9160 0.0000 0.0000 1.0000 1.0000
PT_0265 -4.4870 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0266 -4.4870 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0267 -4.4870 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0268 -4.4870 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0269 -4.4870 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0270 -4.4870 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0271 -4.4870 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0272 -4.4870 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0273 -4.4870 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0274 -4.4870 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0275 -4.4870 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0276 -4.4870 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0277 -4.4870 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0278 -4.4870 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0279 -4.4870 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
PT_0280 -4.4870 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0281 -4.4870 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0282 -4.4870 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0283 -4.4870 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0284 -4.8110 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0285 -4.8110 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0286 -4.8110 0.1020 -0.9610 0.0000 0.0000 1.0000 1.0000
PT_0287 -4.8110 0.1020 -1.2890 0.0000 0.0000 1.0000 1.0000
PT_0288 -4.8110 0.1020 -1.6180 0.0000 0.0000 1.0000 1.0000
PT_0289 -4.8110 0.1020 -1.9460 0.0000 0.0000 1.0000 1.0000
PT_0290 -4.8110 0.1020 -2.2740 0.0000 0.0000 1.0000 1.0000
PT_0291 -4.8110 0.1020 -2.6030 0.0000 0.0000 1.0000 1.0000
PT_0292 -4.8110 0.1020 -2.9310 0.0000 0.0000 1.0000 1.0000
PT_0293 -4.8110 0.1020 -3.2590 0.0000 0.0000 1.0000 1.0000
PT_0294 -4.8110 0.1020 -3.5880 0.0000 0.0000 1.0000 1.0000
PT_0295 -4.8110 0.1020 -3.9160 0.0000 0.0000 1.0000 1.0000
PT_0296 -4.8110 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0297 -4.8110 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0298 -4.8110 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0299 -4.8110 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0300 -4.8110 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0301 -4.8110 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0302 -4.8110 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0303 -4.8110 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0304 -4.8110 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0305 -4.8110 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0306 -4.8110 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0307 -4.8110 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0308 -4.8110 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0309 -4.8110 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0310 -4.8110 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
PT_0311 -4.8110 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0312 -4.8110 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0313 -4.8110 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0314 -4.8110 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0315 -0.9290 0.2580 -0.1400 0.0000 0.0000 1.0000 1.0000
